id,operation,x,power,result
2,pow,88.789644857309227,4,62151165.26150573
5,pow,29.790821317063955,4,787643.88672130194
8,pow,30.263764037134592,8,703693496398.67981
11,pow,14.68817825203296,3,3168.8654769325462
14,pow,50.928155922327178,2,2593.6770656488688
16,pow,9.1300885095986768,3,761.07063087187032
18,pow,2.8607510152050097,2,8.1838963709964947
21,pow,66.911353854854724,8,401789458578359.75
25,pow,41.196022977785859,3,69914.277685120411
29,pow,98.332049942086897,7,88892608681446.922
33,pow,66.781014691602678,1,66.781014691602678
36,pow,82.499454176821544,2,6806.1599394734776
40,pow,48.491073294200206,6,13000821065.269991
44,pow,8.0739112482845083,7,2236597.3094066177
48,pow,46.128558669653223,6,9634281004.0883579
52,pow,33.023456903434734,3,36013.688188833439
56,pow,38.531637218997872,5,84935121.706113905
60,pow,43.922145858831819,3,84732.62276348364
64,pow,16.988274735031087,3,4902.8412052337098
68,pow,13.887373627545696,4,37194.650300398913
72,pow,71.937923679885756,7,9970232625129.1113
76,pow,1.2836605321200301,8,7.3722746712322875
79,pow,7.5052785020357904,5,23814.093929770766
83,pow,76.148736955417618,1,76.148736955417618
87,pow,53.336849090486695,3,151733.70680914359
91,pow,22.272179235805499,3,11048.113795248193
95,pow,57.72472015597458,1,57.72472015597458
99,pow,59.168978366753407,8,150228581049655.41
103,pow,55.496768969917312,8,89979089321911.969
107,pow,6.5275268564571629,3,278.12882560642555
111,pow,33.501420486340443,7,47363365333.783501
115,pow,9.3346781962221677,5,70875.600800402375
118,pow,11.231083034169412,1,11.231083034169412
122,pow,10.912556537549188,2,119.08389018520752
127,pow,35.888422797074099,8,2751914782308.8164
131,pow,6.4184495427784709,6,69916.678560060696
134,pow,68.602015372656609,8,490563233621083.81
139,pow,78.415782593951363,8,1429643811862434
144,pow,61.85054475949967,6,55983645440.020424
148,pow,19.167306850253002,4,134972.21721593029
152,pow,98.514029310765977,3,956080.03080466995
155,pow,97.826628726459887,1,97.826628726459887
159,pow,42.473499917679895,5,138226161.14152208
163,pow,86.219807038029515,7,35420062721841.195
167,pow,29.887495125751084,5,23847759.950803347
171,pow,40.11595832334276,7,167193812152.13272
175,pow,59.292965847486229,2,3515.6557989911685
178,pow,74.416096095727454,8,940448599157669.25
182,pow,20.238907527562191,2,409.61337790921351
185,pow,74.972024790809641,7,13313574744887.025
190,pow,32.781901422292293,2,1074.6530608608896
194,pow,49.88138814693545,7,768368790716.80322
198,pow,35.525779629278603,2,1262.0810182680666
202,pow,78.833998062281665,5,3044863034.2052727
206,pow,58.910617077040811,1,58.910617077040811
210,pow,2.3240873664323392,5,67.805082621904987
213,pow,57.493357588997057,1,57.493357588997057
218,pow,49.955726734676702,3,124668.24444159762
222,pow,87.946259695815215,4,59823180.084058136
226,pow,95.982519714236432,3,884252.79305525997
230,pow,81.167354492493402,4,43403581.219087936
234,pow,84.289814885185308,4,50477797.86649026
237,pow,77.360701917605965,3,462978.90639464254
241,pow,97.619624153634049,2,9529.5910198967722
245,pow,78.429162255493011,6,232737013220.77719
249,pow,53.300661737230442,8,65141957853969.891
253,pow,76.302936254293172,4,33897291.834541582
256,pow,61.894519956989555,6,56222893645.544868
260,pow,50.958654011677851,4,6743289.3171090474
263,pow,0.95421402444026793,1,0.95421402444026793
268,pow,10.128561544213763,3,1039.0664302579335
272,pow,8.8479655491657656,7,4245256.7465202073
276,pow,99.607566863533918,1,99.607566863533918
280,pow,88.322941966521299,3,689002.15440595686
284,pow,60.725990788790412,2,3687.6459572802578
288,pow,75.746288702392448,8,1083654579220165.2
292,pow,19.418640305127653,8,20218574768.427994
296,pow,86.828565000049977,4,56839532.11599613
300,pow,81.114681085741978,8,1874112771457704.2
304,pow,94.739205214710609,8,6489898374479733
309,pow,3.1502746149780805,2,9.9242301497752941
313,pow,48.187089533897201,3,111890.2097659896
317,pow,27.633886266710441,1,27.633886266710441
320,pow,40.193263896492432,4,2609835.2828344712
324,pow,40.418934829318808,1,40.418934829318808
327,pow,82.175544541480548,6,307932511318.97046
331,pow,15.486407928509774,2,239.82883052821037
335,pow,23.248966785459178,3,12566.402648353605
339,pow,70.231065235575741,2,4932.402524123695
343,pow,86.024482204265027,4,54763130.81472481
347,pow,58.46857097596088,1,58.46857097596088
351,pow,19.721826572342408,5,2983566.1907036193
355,pow,52.786465548597896,2,2786.4109451133127
359,pow,74.889620132485078,5,2355635759.4789295
363,pow,87.382485997380911,6,445191000311.44861
367,pow,7.9146840407061809,4,3924.0481605399118
370,pow,12.314623687024854,3,1867.5121471042776
372,pow,26.522441787773865,2,703.43991838585328
375,pow,88.761033376915208,5,5509494435.1305504
379,pow,6.2706138983466593,3,246.56429246211542
383,pow,64.080646080800761,3,263136.22829313186
386,pow,49.382890143515048,8,35368124289876.156
391,pow,91.135502428292369,4,68984316.987591416
395,pow,62.319243565191755,6,58577797615.129745
399,pow,7.731874020050757,5,27632.733337614973
402,pow,36.68579575180275,3,49373.490531420379
407,pow,91.281321895782668,4,69426885.449666649
411,pow,84.774940901230764,3,609259.74879204819
415,pow,42.871352140648334,4,3378070.6213594256
419,pow,73.013358274346231,3,389230.59781348193
423,pow,0.70120277044112067,2,0.49168532527430298
426,pow,49.444165126295388,6,14611348147.186247
431,pow,1.5347832690082519,3,3.615273590354271
434,pow,82.757161371616291,6,321242882287.45197
438,pow,99.384229062502087,8,9517870368025990
442,pow,80.518615142901581,5,3384398421.1780767
446,pow,89.368277694987071,2,7986.6890581683238
450,pow,70.175871851065779,3,345591.81714122242
454,pow,44.598515714556051,7,350948052086.88745
458,pow,2.3613850573275186,4,31.093330485219248
461,pow,95.217124870135052,7,70958666464073.469
466,pow,73.586856087015775,3,398474.69399104075
470,pow,49.16684762368871,8,34149072455875.785
474,pow,66.462926505864289,3,293588.05437229114
478,pow,30.551245743846394,7,24842909927.546745
482,pow,69.468160366632787,4,23288589.871716518
486,pow,6.4021603041355393,2,40.987656559848858
490,pow,93.207418601403546,7,61115780419142.484
494,pow,21.522458000845649,4,214569.24645844809
498,pow,98.645641317574913,6,921440726516.65894
502,pow,26.796983332788429,4,515636.46753275063
506,pow,69.227922017340603,2,4792.5051868389919
510,pow,71.130824710034048,6,129523050514.79521
514,pow,54.131561251434889,8,73723241940322.922
518,pow,68.880118393957858,5,1550491624.6929555
522,pow,72.100091585033638,5,1948404311.4329031
526,pow,1.7095048704378835,6,24.958705391117324
530,pow,89.562531748078456,2,8021.447093125561
534,pow,62.364322535699962,6,58832493264.311188
538,pow,82.567107008590227,6,316841753506.65546
542,pow,54.858832901899191,2,3009.4915473584974
546,pow,23.86927408816252,3,13599.333817345065
550,pow,26.83691886362379,1,26.83691886362379
554,pow,54.072804858557269,5,462268700.66152257
558,pow,61.659769882634713,5,891270429.80563712
562,pow,23.731780026572888,3,13365.67641034738
566,pow,97.033165856462418,6,834682305259.88794
570,pow,73.999906026950029,5,2218992534.3857608
574,pow,2.631469127184046,5,126.18025357935552
577,pow,64.588222064643858,7,4688925240404.957
582,pow,44.920112774055013,2,2017.8165316338204
586,pow,99.460408753174192,4,97859041.777611896
590,pow,31.437978351876836,7,30351647791.978767
595,pow,58.940403687204352,6,41925537221.510582
599,pow,80.782071205591109,5,3440130519.8486557
603,pow,62.445626834747401,6,59294194919.433319
607,pow,26.595244735527665,7,9410830212.3638954
611,pow,48.070954467291699,2,2310.816663396432
615,pow,85.362830122025699,5,4532564848.2271051
619,pow,10.895091118628642,6,1672573.4565533549
623,pow,42.646993238798345,2,1818.7660323101118
626,pow,88.717587261458561,5,5496023888.9649181
631,pow,59.556914015035204,2,3547.0260069942965
634,pow,30.15920035206198,5,24951640.919413958
639,pow,63.748232783349756,5,1052787571.2521278
643,pow,70.756048864147928,4,25064225.705168411
647,pow,40.559211239042973,8,7323454791387.9502
650,pow,98.003090428017003,3,941281.04421997454
654,pow,12.70626416665106,3,2051.4155375990167
658,pow,73.539323957112572,5,2150790777.2970471
660,pow,93.602043179861596,4,76761122.182303235
664,pow,96.652026627083941,7,78791025688339.562
671,pow,76.987029309307857,2,5927.0026818722272
675,pow,8.7315768954299688,4,5812.6039413106637
679,pow,50.095719345747021,3,125719.27029907433
683,pow,17.285921083335555,4,89283.273266515243
687,pow,51.919020638506758,6,19586595299.943298
691,pow,38.770185548085315,3,58276.523836166161
695,pow,95.537313523553962,3,872005.19993520551
699,pow,38.789770415707906,8,5125516940493.2373
703,pow,6.0026484974168905,6,46779.704738395667
707,pow,9.9095917896252583,2,98.200009437008333
710,pow,22.867490518303601,1,22.867490518303601
715,pow,37.155344536991151,5,70811935.336404368
719,pow,49.176838107231291,7,695543365081.96375
723,pow,37.684340686560112,5,75998427.618477464
726,pow,61.48222111686119,5,878512089.86674297
730,pow,54.000178517026384,2,2916.019279870718
734,pow,96.74501795026508,1,96.74501795026508
738,pow,29.758912360236209,8,615086840036.25696
742,pow,62.196594850947591,2,3868.4164110529205
746,pow,86.511844143334457,6,419231028868.25623
750,pow,57.571512315906851,2,3314.4790303406144
754,pow,90.365635134940518,6,544527518396.3877
758,pow,63.983138925157967,8,280882277117985.62
762,pow,10.287159592142306,8,125419140.23092474
766,pow,38.799604637097787,2,1505.4093199951001
769,pow,91.808462903254295,6,598820001274.30298
773,pow,84.185600621016675,8,2522914412215818
777,pow,95.63602916862007,8,6997973385248857
781,pow,18.129042772815936,4,108018.83635729244
785,pow,74.709116928797414,8,970484993189138.5
