id,operation,x,result
1,sqrt,899951.40123681654,948.65768390753919
3,sqrt,921972.51266867376,960.19399741337361
6,sqrt,546206.15618519706,739.05761357636868
9,sqrt,179361.31357238468,423.51070065865474
12,sqrt,507429.32311670651,712.34073526417569
17,sqrt,813085.75099440268,901.71267651863627
20,sqrt,433422.91435488552,658.34862675856289
23,sqrt,183761.89393887398,428.67457813459617
24,sqrt,112974.60390478351,336.11694974336461
27,sqrt,510927.14694733487,714.79168080450881
28,sqrt,438758.6917453967,662.38862591789473
31,sqrt,790385.85734519677,889.03647694861024
32,sqrt,638145.15411960124,798.83988015096065
35,sqrt,972536.748732468,986.17277833677201
37,sqrt,251040.07779897036,501.0389982815413
39,sqrt,896805.55981013365,946.99818363613224
42,sqrt,834927.56452293706,913.74370833562352
43,sqrt,455256.26203999441,674.72680548500102
46,sqrt,352628.36568371288,593.82519791914592
47,sqrt,957752.69910729351,978.64840423274256
50,sqrt,563950.58943294967,750.9664369550411
51,sqrt,243688.88708215608,493.64854611571184
54,sqrt,324224.05733830592,569.40675912593974
55,sqrt,639653.05199919606,799.78312810361035
58,sqrt,485149.30173550022,696.52659801008338
59,sqrt,799389.49539676006,894.08584341592166
62,sqrt,21124.209960868811,145.34170069484122
63,sqrt,331044.16764368431,575.36437814978115
66,sqrt,160892.53227318072,401.11411377958359
67,sqrt,181119.93359334479,425.58187648599977
70,sqrt,139529.79660152624,373.53687448701265
71,sqrt,900711.52944010776,949.05823290254841
74,sqrt,955820.88279807696,977.66092424627311
75,sqrt,691909.78703949263,831.81114866265921
78,sqrt,268857.32947284437,518.5145412356768
80,sqrt,74865.002514273583,273.61469718250441
82,sqrt,673210.27799550316,820.49392319230685
85,sqrt,983554.59990741115,991.74321268532572
86,sqrt,128073.70302408516,357.87386468431185
89,sqrt,79511.752053983146,281.97828294743397
90,sqrt,86673.666284748731,294.40391689776942
93,sqrt,483404.04606235883,695.27264153162162
94,sqrt,105661.35969924925,325.05593318573534
97,sqrt,107318.11584360922,327.59443805353169
98,sqrt,538852.9085714831,734.06601104497622
101,sqrt,594226.82804378401,770.86109516811393
102,sqrt,706916.03357346123,840.78298839442584
105,sqrt,841276.57387053873,917.21130273810888
106,sqrt,694907.68786525878,833.61123304887076
109,sqrt,443911.73779788573,666.26701689179072
110,sqrt,573882.49856229674,757.55032741217713
113,sqrt,484167.13733222242,695.82119638037932
114,sqrt,780315.83125504432,883.35487277483469
117,sqrt,164470.25495235223,405.54932493144679
119,sqrt,40199.888549773998,200.4990986258392
121,sqrt,345427.18852419837,587.7305407448199
123,sqrt,353298.50756694603,594.38918863564982
125,sqrt,462702.30935043847,680.22224996719899
126,sqrt,564573.54282990785,751.38109027969813
129,sqrt,313484.14363444218,559.89654726069011
130,sqrt,352273.67721608392,593.52647558140484
133,sqrt,115874.37872489114,340.40325898100792
135,sqrt,86754.327771094759,294.54087623128771
137,sqrt,570718.72937594028,755.45928373138702
138,sqrt,799109.49138373497,893.92924294025363
141,sqrt,446571.9130217674,668.26036319818297
142,sqrt,471277.50137592753,686.49654141585268
145,sqrt,307966.38052781421,554.94718715190743
147,sqrt,135967.32691523957,368.73747696056006
149,sqrt,601145.06810913072,775.33545521221379
151,sqrt,988692.83239567745,994.33034369653899
153,sqrt,897213.78942055115,947.2136978636612
156,sqrt,778898.98408100847,882.55253899187699
158,sqrt,984581.3033167423,992.26070330167886
160,sqrt,942332.70731737325,970.73822800864968
